,,,,,,,,,Process name,Case1: MASC,"acetone production, liquid | acetone, liquid | APOS, S",Diacetone Alcohol Manufacturing Process,Landfill (film) - SI units,"market for nylon 6 | nylon 6 | APOS, S","market for polyethylene, linear low density, granulate | polyethylene, linear low density, granulate | APOS, S","market group for electricity, medium voltage | electricity, medium voltage | APOS, S",MASC,,
,,,,,,,,,Product name,multilayer film,"acetone, liquid",Diacetone Alcohol,multilayer film waste,nylon 6,"polyethylene, linear low density, granulate","electricity, medium voltage",multilayer film waste,,
,,,,,,,,,Multi-Output process,false,false,false,false,false,false,false,false,,
,,,,,,,,,UUID,3a017a81-50f7-4a19-b71c-106d1b57115e,15e08bcb-75e0-4f45-ab47-d6ddff721ebc,a06b7f72-6316-4903-be61-a5ce9a98bab6,36e9153c-f08a-4edf-8aae-80eef6f20e3d,d16b5d3f-b5e4-45b6-9a04-23cde05220c0,ff4734a5-a4a6-4960-bfbd-febae7a64f65,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,36e9153c-f08a-4edf-8aae-80eef6f20e3d,,
,,,,,,,,,Infrastructure product,false,false,false,false,false,false,false,false,,
,,,,,,,,,Process location,,RoW,,,RoW,GLO,US,,,
,,,,,,,,,Process category,Z10: REMADE LCA paper,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",Z2: REMADE,Z2: REMADE,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","351:Electric power generation, transmission and distribution",Z2: REMADE,,
,,,,,,,,,Process sub category,,2011:Manufacture of basic chemicals,,,2013:Manufacture of plastics and synthetic rubber in primary forms,2013:Manufacture of plastics and synthetic rubber in primary forms,"3510:Electric power generation, transmission and distribution",,,
,,,,,,,,,Product/Service unit,,,,,,,,,,
Process name,Product name,Multi-Output process,UUID,Infrastructure product,Process location,Process category,Process sub category,Product/Service unit,,,,,,,,,,,
Case1: MASC,multilayer film,false,3a017a81-50f7-4a19-b71c-106d1b57115e,false,,Z10: REMADE LCA paper,,,,1,,,,,,,,,
"acetone production, liquid | acetone, liquid | APOS, S","acetone, liquid",false,15e08bcb-75e0-4f45-ab47-d6ddff721ebc,false,RoW,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2011:Manufacture of basic chemicals,,,,1,-2.307,,,,,,,
Diacetone Alcohol Manufacturing Process,Diacetone Alcohol,false,a06b7f72-6316-4903-be61-a5ce9a98bab6,false,,Z2: REMADE,,,,,,1,,,,,-0.556,,
Landfill (film) - SI units,multilayer film waste,false,36e9153c-f08a-4edf-8aae-80eef6f20e3d,false,,Z2: REMADE,,,,0.11,,,-1,,,,0.05,,
"market for nylon 6 | nylon 6 | APOS, S",nylon 6,false,d16b5d3f-b5e4-45b6-9a04-23cde05220c0,false,RoW,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2013:Manufacture of plastics and synthetic rubber in primary forms,,,-0.289,,,,1,,,,,
"market for polyethylene, linear low density, granulate | polyethylene, linear low density, granulate | APOS, S","polyethylene, linear low density, granulate",false,ff4734a5-a4a6-4960-bfbd-febae7a64f65,false,GLO,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2013:Manufacture of plastics and synthetic rubber in primary forms,,,-0.821,,,,,1,,,,
"market group for electricity, medium voltage | electricity, medium voltage | APOS, S","electricity, medium voltage",false,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,false,US,"351:Electric power generation, transmission and distribution","3510:Electric power generation, transmission and distribution",,,-3.24,,,,,,3.6,-14.78404,,
MASC,multilayer film waste,false,36e9153c-f08a-4edf-8aae-80eef6f20e3d,false,,Z2: REMADE,,,,1,,,,,,,-1,,
,,false,3a017a81-50f7-4a19-b71c-106d1b57115e,false,,Z2: REMADE,,,,,,,,,,,,,
