,,,,,,,,,Process name,Case2: STRAP,Landfill (film) - SI units,"market for ethylene glycol | ethylene glycol | APOS, S","market for nylon 6 | nylon 6 | APOS, S","market for polyethylene, linear low density, granulate | polyethylene, linear low density, granulate | APOS, S","market group for electricity, medium voltage | electricity, medium voltage | APOS, S","market group for heat, district or industrial, natural gas | heat, district or industrial, natural gas | APOS, S","market group for tap water | tap water | APOS, S",STRAP (SI units)
,,,,,,,,,Product name,multilayer film,multilayer film waste,ethylene glycol,nylon 6,"polyethylene, linear low density, granulate","electricity, medium voltage","heat, district or industrial, natural gas",tap water,multilayer film waste
,,,,,,,,,Multi-Output process,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,UUID,3a017a81-50f7-4a19-b71c-106d1b57115e,36e9153c-f08a-4edf-8aae-80eef6f20e3d,4052f31f-cd94-4b86-b075-210914586a0f,d16b5d3f-b5e4-45b6-9a04-23cde05220c0,ff4734a5-a4a6-4960-bfbd-febae7a64f65,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,1125e767-7b5d-442e-81d6-9b0d3e1919ac,c5adb1fb-872e-4446-a3bb-c4b61aa4bd45,36e9153c-f08a-4edf-8aae-80eef6f20e3d
,,,,,,,,,Infrastructure product,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,Process location,,,GLO,RoW,GLO,US,GLO,GLO,
,,,,,,,,,Process category,Z10: REMADE LCA paper,Z2: REMADE,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","351:Electric power generation, transmission and distribution",353:Steam and air conditioning supply,"360:Water collection, treatment and supply",Z2: REMADE
,,,,,,,,,Process sub category,,,2011:Manufacture of basic chemicals,2013:Manufacture of plastics and synthetic rubber in primary forms,2013:Manufacture of plastics and synthetic rubber in primary forms,"3510:Electric power generation, transmission and distribution",3530:Steam and air conditioning supply,"3600:Water collection, treatment and supply",
,,,,,,,,,Product/Service unit,,,,,,,,,
Process name,Product name,Multi-Output process,UUID,Infrastructure product,Process location,Process category,Process sub category,Product/Service unit,,,,,,,,,,
Case2: STRAP,multilayer film,FALSE,3a017a81-50f7-4a19-b71c-106d1b57115e,FALSE,,Z10: REMADE LCA paper,,,,1,,,,,,,,
Landfill (film) - SI units,multilayer film waste,FALSE,36e9153c-f08a-4edf-8aae-80eef6f20e3d,FALSE,,Z2: REMADE,,,,0.11,-1,,,,,,,0.05
"market for ethylene glycol | ethylene glycol | APOS, S",ethylene glycol,FALSE,4052f31f-cd94-4b86-b075-210914586a0f,FALSE,GLO,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2011:Manufacture of basic chemicals,,,,,1,,,,,,-0.115
"market for nylon 6 | nylon 6 | APOS, S",nylon 6,FALSE,d16b5d3f-b5e4-45b6-9a04-23cde05220c0,FALSE,RoW,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2013:Manufacture of plastics and synthetic rubber in primary forms,,,-0.289,,,1,,,,,
"market for polyethylene, linear low density, granulate | polyethylene, linear low density, granulate | APOS, S","polyethylene, linear low density, granulate",FALSE,ff4734a5-a4a6-4960-bfbd-febae7a64f65,FALSE,GLO,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2013:Manufacture of plastics and synthetic rubber in primary forms,,,-0.821,,,,1,,,,
"market group for electricity, medium voltage | electricity, medium voltage | APOS, S","electricity, medium voltage",FALSE,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,FALSE,US,"351:Electric power generation, transmission and distribution","3510:Electric power generation, transmission and distribution",,,-3.24,,,,,3.6,,,-0.648
"market group for heat, district or industrial, natural gas | heat, district or industrial, natural gas | APOS, S","heat, district or industrial, natural gas",FALSE,1125e767-7b5d-442e-81d6-9b0d3e1919ac,FALSE,GLO,353:Steam and air conditioning supply,3530:Steam and air conditioning supply,,,,,,,,,1,,-0.0035136
"market group for tap water | tap water | APOS, S",tap water,FALSE,c5adb1fb-872e-4446-a3bb-c4b61aa4bd45,FALSE,GLO,"360:Water collection, treatment and supply","3600:Water collection, treatment and supply",,,,,,,,,,1,-1.35
STRAP (SI units),multilayer film waste,FALSE,36e9153c-f08a-4edf-8aae-80eef6f20e3d,FALSE,,Z2: REMADE,,,,1,,,,,,,,-1
